priority,issue,row_number,venue_key,pub_name,place_name,postcode,pin_type,current_lat,current_lng,current_source,postcode_displacement_metres,reference_name,reference_lat,reference_lng,difference_metres,reference_url,audit_status
1,listing_postcode_conflicts_with_venue_reference,831,bucknall bowling & recreation club|stoke: bucknall|st2 7ab,Bucknall Bowling & Recreation Club,Stoke: Bucknall,ST2 7AB,venue,53.0241582,-2.1317236,google-maps-named-place,2482.1,,,,,https://www.google.com/maps/search/?api=1&query=Bucknall+Bowling+Recreation+Club,no_unambiguous_reference
1,listing_postcode_conflicts_with_venue_reference,432,blue dog|sewstern|ng33 5rg,Blue Dog,Sewstern,NG33 5RG,venue,52.7862037,-0.6840474,google-maps-named-place,394.4,,,,,https://www.google.com/maps/search/?api=1&query=Blue+Dog+Sewstern,no_unambiguous_reference
1,listing_name_requires_correction,124,chaddesen park social club (pmc)|derby: chaddesden|de21 6pd,Chaddesen Park Social Club (PMC),Derby: Chaddesden,DE21 6PD,venue,52.927228,-1.4458378,google-maps-named-place,169.2,,,,,,no_unambiguous_reference
1,listing_name_requires_correction,568,h|angel inn|l1 4hy,h,Angel Inn,L1 4HY,venue,53.4027146,-2.9777435,google-maps-named-place,38.6,,,,,,no_unambiguous_reference
1,listing_name_requires_correction,880,bamk house hotel|uttoxeter|st14 8ag,Bamk House Hotel,Uttoxeter,ST14 8AG,venue,52.8991217,-1.862908,google-maps-named-place,37.3,,,,,,no_unambiguous_reference
1,listing_postcode_conflicts_with_venue_reference,706,nelson inn|brown lees|st8 6ph,Nelson Inn,Brown Lees,ST8 6PH,venue,53.099298,-2.183616,openstreetmap-gb-extract,239.7,Nelson Inn,53.099049,-2.1834742,29.3,https://camra.org.uk/pubs/143866,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,389,new baron|hinckley|le10 0az,New Baron,Hinckley,LE10 0AZ,venue,52.540943145752,-1.37424194812775,food-standards-agency-fhrs,7.5,New Baron Hinckley (also known as Crafty Baron),52.54112,-1.37392,29.3,https://camra.org.uk/pubs/181808,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,85,mount pleasant inn|castle gresley|de11 9je,Mount Pleasant Inn,Castle Gresley,DE11 9JE,venue,52.7498761,-1.5737433,google-maps-named-place,416.3,Mount Pleasant Inn,52.75,-1.5741,27.7,https://camra.org.uk/pubs/124016,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,89,r and rs sports bar|chellaston|de73 5sa,R and Rs Sports Bar,Chellaston,DE73 5SA,venue,52.8690371,-1.4379227,google-maps-named-place,72.8,R&Rs Sports Bar & Lounge,52.8692,-1.43821,26.5,https://camra.org.uk/pubs/143368,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,241,george|youlgrave|de45 1uw,George,Youlgrave,DE45 1UW,venue,53.1762642,-1.684656,google-maps-named-place,355.5,George Hotel,53.176408813319,-1.6843456970621,26.2,https://camra.org.uk/pubs/134940,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,348,fairhaven|lytham st annes|fy8 1yd,Fairhaven,Lytham St Annes,FY8 1YD,venue,53.7391155,-2.9931954,openstreetmap-gb-extract,2383.7,Fairhaven,53.739223,-2.993478,22.1,https://camra.org.uk/pubs/120359,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,278,grey horse|consett|dh8 6nf,Grey Horse,Consett,DH8 6NF,venue,54.8544235,-1.824519,openstreetmap-gb-extract,32.9,Grey Horse,54.854306653598,-1.8242745251312,20.3,https://camra.org.uk/pubs/186917,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,642,britannia|oxford: headington|ox3 7aa,Britannia,Oxford: Headington,OX3 7AA,venue,51.758995,-1.214021,food-standards-agency-fhrs,2.2,Britannia,51.759108,-1.214177,16.5,https://camra.org.uk/pubs/157076,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,1028,alder|sheffield: central|s3 8bt,Alder,Sheffield: Central,S3 8BT,venue,53.3919404,-1.4761471,openstreetmap-gb-extract,8.3,Alder,53.392066348105,-1.476220991402,14.8,https://camra.org.uk/pubs/148045,reference_agrees_within_50m_postcode_conflict
1,listing_postcode_conflicts_with_venue_reference,1083,stag and pheasant|carmarthen|sa31 1jq,Stag and Pheasant,Carmarthen,SA31 1JQ,venue,51.85698505384615,-4.3041469153846155,openstreetmap-gb-extract,632.1,Stag & Pheasant,51.856912,-4.304004,12.7,https://camra.org.uk/pubs/133424,reference_agrees_within_50m_postcode_conflict
