venue_key,pub_name,place_name,postcode,pin_type,current_lat,current_lng,current_source,camra_lat,camra_lng,camra_url,fsa_name,fsa_address,fsa_lat,fsa_lng,fsa_url,current_to_fsa_metres,camra_to_fsa_metres,postcode_to_fsa_metres,fsa_status,checked_at
barton rovers social (pmc)|barton le clay|mk45 4sd,Barton Rovers Social (PMC),Barton le Clay,MK45 4SD,venue,51.9648174,-0.4295876,google-maps-named-place,,,,,,,,https://api.ratings.food.gov.uk/Establishments?address=MK45+4SD&pageSize=100&pageNumber=1,,,,no_name_match,2026-09-11
gj muckers|macclesfield|sk11 6jl,GJ Muckers,Macclesfield,SK11 6JL,venue,53.25777,-2.12237,manual-camra-review,,,,,,,,,,,,no_name_match,
harbour pool club (pmc)|st ives|tr26 1lf,Harbour Pool Club (PMC),St Ives,TR26 1LF,venue,50.21372,-5.48006,manual-openstreetmap-review,,,,Harbour Pool & Billiards Club,"Harbour Pool And Billiards Club, The Wharf, St Ives, Cornwall, TR26 1LF",50.213557,-5.480003,https://api.ratings.food.gov.uk/Establishments?address=TR26+1LF&pageSize=100&pageNumber=1,18.6,,15.8,unique_name_and_postcode_match,2026-09-11
mason brewing taproom|threemilestone|tr4 9ld,Mason Brewing Taproom,Threemilestone,TR4 9LD,venue,50.2622391,-5.1247196,google-maps-named-place,,,,,,,,https://api.ratings.food.gov.uk/Establishments?address=TR4+9LD&pageSize=100&pageNumber=1,,,,no_name_match,2026-09-11
arkwrights|belper: central|de56 1up,Arkwrights,Belper: Central,DE56 1UP,venue,53.0227293,-1.4832821,google-maps-named-place,,,,,,,,https://api.ratings.food.gov.uk/Establishments?address=DE56+1UP&pageSize=100&pageNumber=1,,,,no_name_match,2026-09-11
crossbar|chellaston|de73 6tq,Crossbar,Chellaston,DE73 6TQ,venue,52.8750547,-1.4265946,google-maps-named-place,,,,,,,,https://api.ratings.food.gov.uk/Establishments?address=DE73+6TQ&pageSize=100&pageNumber=1,,,,no_name_match,2026-09-11
chaddesen park social club (pmc)|derby: chaddesden|de21 6pd,Chaddesen Park Social Club (PMC),Derby: Chaddesden,DE21 6PD,venue,52.927228,-1.4458378,google-maps-named-place,,,,,,,,https://api.ratings.food.gov.uk/Establishments?address=DE21+6PD&pageSize=100&pageNumber=1,,,,no_name_match,2026-09-11
doveside social club (pmc)|hatton|de65 5ez,Doveside Social Club (PMC),Hatton,DE65 5EZ,venue,52.8652076,-1.6823627,manual-multiple-source-map-review,,,,,,,,https://api.ratings.food.gov.uk/Establishments?address=DE65+5EZ&pageSize=100&pageNumber=1,,,,no_name_match,2026-09-11
colliery smokehouse|linton|de12 6pb,Colliery Smokehouse,Linton,DE12 6PB,venue,52.742254,-1.5855772,google-maps-named-place,,,,Colliery Smokehouse,"LAKESIDE COTTAGE COLLIERY LANE, LINTON, SWADLINCOTE, DE12 6PB",52.7429351,-1.5856133,https://api.ratings.food.gov.uk/Establishments?address=DE12+6PB&pageSize=100&pageNumber=1,75.8,,462.7,unique_name_and_postcode_match,2026-09-11
netherseal sports club (pmc)|netherseal|de12 8db,Netherseal Sports Club (PMC),Netherseal,DE12 8DB,venue,52.7131016,-1.5763189,food-standards-agency-fhrs,,,,Netherseal St Peters Sports Club,"NETHERSEAL ST PETERS SPORTS CLUB MAIN STREET, NETHERSEAL, SWADLINCOTE, DE12 8DB",52.7131016,-1.5763189,https://api.ratings.food.gov.uk/Establishments?address=DE12+8DB&pageSize=100&pageNumber=1,0.0,,356.4,unique_name_and_postcode_match,2026-09-11
ye olde butchers arms|reapsmoor|sk17 0ll,Ye Olde Butchers Arms,Reapsmoor,SK17 0LL,venue,53.1507019,-1.8804221,google-maps-named-place,,,,,,,,https://api.ratings.food.gov.uk/Establishments?address=SK17+0LL&pageSize=100&pageNumber=1,,,,no_name_match,2026-09-11
compamigos (was boardwalk)|willington|de65 6dw,Compamigos (was Boardwalk),Willington,DE65 6DW,venue,52.8612955,-1.5543534,food-standards-agency-fhrs,,,,Compamigos,"THE BOARDWALK BAR AND DINING MERCIA MARINA FINDERN LANE, WILLINGTON, DERBY, DE65 6DW",52.8612955,-1.5543534,https://api.ratings.food.gov.uk/Establishments?address=DE65+6DW&pageSize=100&pageNumber=1,0.0,,491.2,unique_name_and_postcode_match,2026-09-11
pleasant retreat|lostock hall|pr5 5ru,Pleasant Retreat,Lostock Hall,PR5 5RU,venue,53.7260786,-2.6924564,google-maps-named-place,,,,,,,,https://api.ratings.food.gov.uk/Establishments?address=PR5+5RU&pageSize=100&pageNumber=1,,,,no_name_match,2026-09-11
