venue_key,lat,lng,reference_name,reference_address,source,source_url,corroborating_source_url,checked_at,review_note
45 club (pmc)|newcastle-u-l: central|st5 1ds,53.0093065,-2.2165397,The 45 Club,"92 Lancaster Rd, Newcastle-under-Lyme ST5 1DS",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=The+45+Club+ST5+1DS,,2026-09-13,name and full postcode agree
arkwrights|belper: central|de56 1up,53.0227293,-1.4832821,Arkwright's Real Ale Bar,"6 Campbell St, Belper DE56 1UP",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=Arkwrights+Real+Ale+Bar+DE56+1UP,,2026-09-13,name and full postcode agree
bamk house hotel|uttoxeter|st14 8ag,52.8991217,-1.862908,Bank House Hotel,"Church St, Uttoxeter ST14 8AG",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=Bank+House+Hotel+ST14+8AG,,2026-09-13,obvious source-name typo; place and full postcode agree
barton rovers social (pmc)|barton le clay|mk45 4sd,51.9648174,-0.4295876,Barton Rovers FC,"Sharpenhoe Rd, Barton-le-Clay MK45 4SD",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=Barton+Rovers+FC+MK45+4SD,,2026-09-13,club identity and full postcode agree
bear inn|bridgnorth|wv16 4er,52.537224,-2.420888,The Bear Inn,"24 Northgate, Bridgnorth WV16 4ET",google-maps-and-official-address,https://www.google.com/maps/search/?api=1&query=Bear+24+Northgate+Bridgnorth,https://www.craftunionpubs.com/bear-bridgnorth,2026-09-13,listing postcode conflicts; venue identity and official address agree
berkeley arms|purton|gl13 9hu,51.7388498,-2.4491708,Berkeley Arms,"Purton, Berkeley GL13 9HU",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=Berkeley+Arms+Purton+GL13+9HU,,2026-09-13,name place and full postcode agree
binary|mickleover|de3 0gr,52.9040166,-1.544656,Binary Bar & Restaurants,"Limes Ave, Mickleover DE3 0GR",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=Binary+Mickleover+DE3+0GR,,2026-09-13,name place and full postcode agree
blue dog|sewstern|ng33 5rg,52.7862037,-0.6840474,The Blue Dog,"46 Main St, Sewstern NG33 5RQ",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=Blue+Dog+Sewstern,,2026-09-13,listing postcode conflicts; venue name and village agree
bucknall bowling & recreation club|stoke: bucknall|st2 7ab,53.0241582,-2.1317236,Bucknall Bowling & Recreation Club,"Werrington Rd, Stoke-on-Trent ST2 9AB",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=Bucknall+Bowling+Recreation+Club,,2026-09-13,listing postcode conflicts; exact club identity agrees
bulls head|beaumaris|ll58 8ap,53.2634289,-4.0919821,The Bull's Head Inn,"20 Castle St, Beaumaris LL58 8AP",google-maps-named-place,https://www.google.com/maps/search/?api=1&query=Bulls+Head+Beaumaris+LL58+8AP,,2026-09-13,name place and full postcode agree
